sample_id,data_json,metadata_json,mxl_file,pdf_file,title,creator,source_format,key_signatures,time_signatures,tempo,resolution,parts_count,track_cnt
QmbRmrqqcm2BWJ6dDACaEkvsb9wJFgC7tL883i3wVCM99n,data/1/41/QmbRmrqqcm2BWJ6dDACaEkvsb9wJFgC7tL883i3wVCM99n.json,,mxl/1/41/QmbRmrqqcm2BWJ6dDACaEkvsb9wJFgC7tL883i3wVCM99n.mxl,pdf/1/41/QmbRmrqqcm2BWJ6dDACaEkvsb9wJFgC7tL883i3wVCM99n.pdf,Hunsdon House,,musescore,,6/8,120.0 BPM,480,0,1
QmZg8XEeH3v859khA5twPvjcxJaz2aW69S3hj1UYRWKpKy,data/17/21/QmZg8XEeH3v859khA5twPvjcxJaz2aW69S3hj1UYRWKpKy.json,,mxl/17/21/QmZg8XEeH3v859khA5twPvjcxJaz2aW69S3hj1UYRWKpKy.mxl,pdf/17/21/QmZg8XEeH3v859khA5twPvjcxJaz2aW69S3hj1UYRWKpKy.pdf,Sir Reginald MacDonald,,musescore,A major; A major,2/2; 2/2,120.0 BPM,480,0,1
QmbLA2MYy2uysM4pm2Thqvz9rCKd6w2B8hDhFtnpifxERN,data/1/30/QmbLA2MYy2uysM4pm2Thqvz9rCKd6w2B8hDhFtnpifxERN.json,,mxl/1/30/QmbLA2MYy2uysM4pm2Thqvz9rCKd6w2B8hDhFtnpifxERN.mxl,pdf/1/30/QmbLA2MYy2uysM4pm2Thqvz9rCKd6w2B8hDhFtnpifxERN.pdf,,,musescore,None None,2/4,112.0002 BPM; 367.9998 BPM,480,0,22
QmSBYR7RSYKhsMv1b8pLevZ9DEbn8ckyweu1ZDpiPXWnk2,data/10/12/QmSBYR7RSYKhsMv1b8pLevZ9DEbn8ckyweu1ZDpiPXWnk2.json,,mxl/10/12/QmSBYR7RSYKhsMv1b8pLevZ9DEbn8ckyweu1ZDpiPXWnk2.mxl,pdf/10/12/QmSBYR7RSYKhsMv1b8pLevZ9DEbn8ckyweu1ZDpiPXWnk2.pdf,[ID 2-35],Urheber unbekannt Erstbeleg: 1767 (Datum in der schriftlichen Quelle) Datum in der hier transkribierten schriftlichen Quelle: 1776 - 1791,musescore,,3/4; 3/4,120.0 BPM,480,0,2
QmeDLjubuDomxyXPzWWiXGLbc7aGh8Z1sbqQ1vWWjB6ki9,data/4/16/QmeDLjubuDomxyXPzWWiXGLbc7aGh8Z1sbqQ1vWWjB6ki9.json,,mxl/4/16/QmeDLjubuDomxyXPzWWiXGLbc7aGh8Z1sbqQ1vWWjB6ki9.mxl,pdf/4/16/QmeDLjubuDomxyXPzWWiXGLbc7aGh8Z1sbqQ1vWWjB6ki9.pdf,Vienne; 10.10.10 D,William James Kirkpatrick; 1885,musescore,G major,2/4,90.0 BPM,480,0,2
QmZrUHGhFcrK75BCZFQqQSgiZNQSf8CUwGgiFu3s7ADWPd,data/17/40/QmZrUHGhFcrK75BCZFQqQSgiZNQSf8CUwGgiFu3s7ADWPd.json,,mxl/17/40/QmZrUHGhFcrK75BCZFQqQSgiZNQSf8CUwGgiFu3s7ADWPd.mxl,pdf/17/40/QmZrUHGhFcrK75BCZFQqQSgiZNQSf8CUwGgiFu3s7ADWPd.pdf,The Curlews,,musescore,B minor; B minor,6/8; 6/8,120.0 BPM,480,0,1
Qmd4CCoGLcwzTihF3NqzVkqkhE5gAvfwKkCiMjpK6S5eTQ,data/3/3/Qmd4CCoGLcwzTihF3NqzVkqkhE5gAvfwKkCiMjpK6S5eTQ.json,,mxl/3/3/Qmd4CCoGLcwzTihF3NqzVkqkhE5gAvfwKkCiMjpK6S5eTQ.mxl,pdf/3/3/Qmd4CCoGLcwzTihF3NqzVkqkhE5gAvfwKkCiMjpK6S5eTQ.pdf,Turkish tune,,musescore,F# minor; F# minor,6/8; 6/8,120.0 BPM,480,0,1
QmbHTR5F7HEPPgQi16ZVHzbdYzKiLjfNJ5ahUdoxg1tacL,data/1/24/QmbHTR5F7HEPPgQi16ZVHzbdYzKiLjfNJ5ahUdoxg1tacL.json,,mxl/1/24/QmbHTR5F7HEPPgQi16ZVHzbdYzKiLjfNJ5ahUdoxg1tacL.mxl,pdf/1/24/QmbHTR5F7HEPPgQi16ZVHzbdYzKiLjfNJ5ahUdoxg1tacL.pdf,Bella ciao,,musescore,None None,4/4,120.0 BPM,480,0,1
QmZx17ia3xTzYZcjqhD1KMV9ukfEnkDZKsm3ywBdmVDG2Q,data/17/52/QmZx17ia3xTzYZcjqhD1KMV9ukfEnkDZKsm3ywBdmVDG2Q.json,,mxl/17/52/QmZx17ia3xTzYZcjqhD1KMV9ukfEnkDZKsm3ywBdmVDG2Q.mxl,pdf/17/52/QmZx17ia3xTzYZcjqhD1KMV9ukfEnkDZKsm3ywBdmVDG2Q.pdf,Lineynaya kadril,,musescore,A major,2/4,133.0002 BPM,480,0,1
QmWZcYNQT2Rgiknt3Kt3AZEmbstc6ica4Q36eKYc6Vxyzq,data/14/57/QmWZcYNQT2Rgiknt3Kt3AZEmbstc6ica4Q36eKYc6Vxyzq.json,,mxl/14/57/QmWZcYNQT2Rgiknt3Kt3AZEmbstc6ica4Q36eKYc6Vxyzq.mxl,pdf/14/57/QmWZcYNQT2Rgiknt3Kt3AZEmbstc6ica4Q36eKYc6Vxyzq.pdf,Humours of Strandroad,,musescore,D major; D major; D major,6/8; 6/8; 6/8,120.0 BPM,480,0,1
QmS7UgqZCWX3H7yH6WnXn9XBEWS3DWrQWr4NEpE7wgBktU,data/10/6/QmS7UgqZCWX3H7yH6WnXn9XBEWS3DWrQWr4NEpE7wgBktU.json,,mxl/10/6/QmS7UgqZCWX3H7yH6WnXn9XBEWS3DWrQWr4NEpE7wgBktU.mxl,pdf/10/6/QmS7UgqZCWX3H7yH6WnXn9XBEWS3DWrQWr4NEpE7wgBktU.pdf,,,musescore,None None,4/4,106.99980000000001 BPM,480,0,2
QmeK4PgG3azicpSwyDUBggsB7tyzEJQTtzVek8powwFidX,data/4/29/QmeK4PgG3azicpSwyDUBggsB7tyzEJQTtzVek8powwFidX.json,,mxl/4/29/QmeK4PgG3azicpSwyDUBggsB7tyzEJQTtzVek8powwFidX.mxl,pdf/4/29/QmeK4PgG3azicpSwyDUBggsB7tyzEJQTtzVek8powwFidX.pdf,Seymour's Fancy,,musescore,G major; G major,4/4; 4/4,120.0 BPM; 120.0 BPM,480,0,1
QmWMsn6JtVGi584xrtRuY8vJJhc8SByUSt7pBWq1Zbuo2V,data/14/32/QmWMsn6JtVGi584xrtRuY8vJJhc8SByUSt7pBWq1Zbuo2V.json,,mxl/14/32/QmWMsn6JtVGi584xrtRuY8vJJhc8SByUSt7pBWq1Zbuo2V.mxl,pdf/14/32/QmWMsn6JtVGi584xrtRuY8vJJhc8SByUSt7pBWq1Zbuo2V.pdf,Zafer Co.1,Zafer Khourdaji,musescore,None None; None None,4/4; 4/4,120.0 BPM; 120.0 BPM,480,0,1
QmPef2HAisSoSbd3jch9KgBPiT6Z2RNv1cj4JLqbjfUxDA,data/7/17/QmPef2HAisSoSbd3jch9KgBPiT6Z2RNv1cj4JLqbjfUxDA.json,,mxl/7/17/QmPef2HAisSoSbd3jch9KgBPiT6Z2RNv1cj4JLqbjfUxDA.mxl,pdf/7/17/QmPef2HAisSoSbd3jch9KgBPiT6Z2RNv1cj4JLqbjfUxDA.pdf,LEAP YEAR -- REEL,,musescore,D major,2/4,120.0 BPM,480,0,1
QmThWBvDkqNFxb9BD8NBNujZ32UNgH6i6fiRoyjMrLDYxJ,data/11/23/QmThWBvDkqNFxb9BD8NBNujZ32UNgH6i6fiRoyjMrLDYxJ.json,,mxl/11/23/QmThWBvDkqNFxb9BD8NBNujZ32UNgH6i6fiRoyjMrLDYxJ.mxl,pdf/11/23/QmThWBvDkqNFxb9BD8NBNujZ32UNgH6i6fiRoyjMrLDYxJ.pdf,Dic y Cymro - Dick the Welshman,Trad.,musescore,D major; D major,2/4; 2/4,139.9998 BPM; 139.9998 BPM,480,0,1
QmQ2ruRPWKMNXpF86pmSLabKvVhTope75zBxHfS8LezVTF,data/8/1/QmQ2ruRPWKMNXpF86pmSLabKvVhTope75zBxHfS8LezVTF.json,,mxl/8/1/QmQ2ruRPWKMNXpF86pmSLabKvVhTope75zBxHfS8LezVTF.mxl,pdf/8/1/QmQ2ruRPWKMNXpF86pmSLabKvVhTope75zBxHfS8LezVTF.pdf,The bonny bonny Broome,,musescore,G major,4/4,100.0002 BPM,480,0,1
QmWzmHgWFw2UHnuoFXtCBdvzx6sA3qChQDrqTe77ZZeiKF,data/14/56/QmWzmHgWFw2UHnuoFXtCBdvzx6sA3qChQDrqTe77ZZeiKF.json,,mxl/14/56/QmWzmHgWFw2UHnuoFXtCBdvzx6sA3qChQDrqTe77ZZeiKF.mxl,pdf/14/56/QmWzmHgWFw2UHnuoFXtCBdvzx6sA3qChQDrqTe77ZZeiKF.pdf,,,musescore,None None,4/4,93.0 BPM,480,0,2
QmVheArZuZx2M1mRmu9ZiMn85zapaVqFb18UErp7912KMP,data/13/23/QmVheArZuZx2M1mRmu9ZiMn85zapaVqFb18UErp7912KMP.json,,mxl/13/23/QmVheArZuZx2M1mRmu9ZiMn85zapaVqFb18UErp7912KMP.mxl,pdf/13/23/QmVheArZuZx2M1mRmu9ZiMn85zapaVqFb18UErp7912KMP.pdf,Mrs. Moray of Abercairnie [3],,musescore,G minor; G minor,4/4; 4/4,120.0 BPM,480,0,1
QmXJVv8tGXnP6s9m4G783uwuj9f9fgSyNHVd18ueH7k57f,data/15/27/QmXJVv8tGXnP6s9m4G783uwuj9f9fgSyNHVd18ueH7k57f.json,,mxl/15/27/QmXJVv8tGXnP6s9m4G783uwuj9f9fgSyNHVd18ueH7k57f.mxl,pdf/15/27/QmXJVv8tGXnP6s9m4G783uwuj9f9fgSyNHVd18ueH7k57f.pdf,,,musescore,None None,4/4; 9/8,120.0 BPM,480,0,1
QmPxPH6YpRiKzdN8tUu9dFJH6zsQtAL1wBFo4QRqRhhFqK,data/7/52/QmPxPH6YpRiKzdN8tUu9dFJH6zsQtAL1wBFo4QRqRhhFqK.json,,mxl/7/52/QmPxPH6YpRiKzdN8tUu9dFJH6zsQtAL1wBFo4QRqRhhFqK.mxl,pdf/7/52/QmPxPH6YpRiKzdN8tUu9dFJH6zsQtAL1wBFo4QRqRhhFqK.pdf,The Departure,,musescore,E minor; E minor,4/4; 4/4,120.0 BPM,480,0,1
QmRcRf8kN3PyqL4PQnCg5K5fuENxujPVTqu8iYo19xZgrq,data/9/13/QmRcRf8kN3PyqL4PQnCg5K5fuENxujPVTqu8iYo19xZgrq.json,,mxl/9/13/QmRcRf8kN3PyqL4PQnCg5K5fuENxujPVTqu8iYo19xZgrq.mxl,pdf/9/13/QmRcRf8kN3PyqL4PQnCg5K5fuENxujPVTqu8iYo19xZgrq.pdf,Just so in the North,,musescore,G major; G major,4/4; 4/4,120.0 BPM,480,0,1
QmUHRJAKKpGDenb5TvMPfqFc1xBF572iivo2TQEPgJrCWg,data/12/24/QmUHRJAKKpGDenb5TvMPfqFc1xBF572iivo2TQEPgJrCWg.json,,mxl/12/24/QmUHRJAKKpGDenb5TvMPfqFc1xBF572iivo2TQEPgJrCWg.mxl,pdf/12/24/QmUHRJAKKpGDenb5TvMPfqFc1xBF572iivo2TQEPgJrCWg.pdf,Tommy Maguire's,,musescore,D major; D major; D major,4/4; 4/4; 4/4,120.0 BPM,480,0,1
QmP4dUMXEikP4tDZyYN1pgMPk7AAaPp6AE7DzJp92sxeNr,data/7/3/QmP4dUMXEikP4tDZyYN1pgMPk7AAaPp6AE7DzJp92sxeNr.json,,mxl/7/3/QmP4dUMXEikP4tDZyYN1pgMPk7AAaPp6AE7DzJp92sxeNr.mxl,pdf/7/3/QmP4dUMXEikP4tDZyYN1pgMPk7AAaPp6AE7DzJp92sxeNr.pdf,"Hur du v\""ander dig",,musescore,,3/4; 3/4,120.0 BPM,480,0,1
QmdRxNbjhF82oNNQfDp6QaUJaF5X8Dhj4Uzrjrv36kHFZt,data/3/41/QmdRxNbjhF82oNNQfDp6QaUJaF5X8Dhj4Uzrjrv36kHFZt.json,,mxl/3/41/QmdRxNbjhF82oNNQfDp6QaUJaF5X8Dhj4Uzrjrv36kHFZt.mxl,pdf/3/41/QmdRxNbjhF82oNNQfDp6QaUJaF5X8Dhj4Uzrjrv36kHFZt.pdf,Lady Wallace [1],,musescore,G minor; G minor,4/4; 4/4,120.0 BPM,480,0,1
QmbscdPvk5c1ajvAcLmqcdYsk8BfDCMeSxTvLsiR6Fnw5N,data/1/42/QmbscdPvk5c1ajvAcLmqcdYsk8BfDCMeSxTvLsiR6Fnw5N.json,,mxl/1/42/QmbscdPvk5c1ajvAcLmqcdYsk8BfDCMeSxTvLsiR6Fnw5N.mxl,pdf/1/42/QmbscdPvk5c1ajvAcLmqcdYsk8BfDCMeSxTvLsiR6Fnw5N.pdf,Tango,,musescore,,4/4,120.0 BPM,480,0,1
QmTTq5a5mPSTyVU47xGpgrVwfajPKSpJXLGCcLdBMtaTBQ,data/11/45/QmTTq5a5mPSTyVU47xGpgrVwfajPKSpJXLGCcLdBMtaTBQ.json,,mxl/11/45/QmTTq5a5mPSTyVU47xGpgrVwfajPKSpJXLGCcLdBMtaTBQ.mxl,pdf/11/45/QmTTq5a5mPSTyVU47xGpgrVwfajPKSpJXLGCcLdBMtaTBQ.pdf,Small Shock,Toby Fox,musescore,None None; None None,6/4; 6/4,102.0 BPM; 102.0 BPM,480,0,1
QmeiqjHTHuEb68uoQoq3bsRJsSozjjLLtffHjg6dQDNHsR,data/4/25/QmeiqjHTHuEb68uoQoq3bsRJsSozjjLLtffHjg6dQDNHsR.json,,mxl/4/25/QmeiqjHTHuEb68uoQoq3bsRJsSozjjLLtffHjg6dQDNHsR.mxl,pdf/4/25/QmeiqjHTHuEb68uoQoq3bsRJsSozjjLLtffHjg6dQDNHsR.pdf,Melcombe; LM,Samuel Webbe; 1782,musescore,Eb major,4/4,108.0 BPM,480,0,2
QmbzxManVzcXwfpffXXYqD62cCMWSZNoKCHKH5XrvVDPEx,data/1/56/QmbzxManVzcXwfpffXXYqD62cCMWSZNoKCHKH5XrvVDPEx.json,,mxl/1/56/QmbzxManVzcXwfpffXXYqD62cCMWSZNoKCHKH5XrvVDPEx.mxl,pdf/1/56/QmbzxManVzcXwfpffXXYqD62cCMWSZNoKCHKH5XrvVDPEx.pdf,The Wild Geese,,musescore,A major,3/4,120.0 BPM,480,0,1
QmPP9tpEVdLT1xmeSjdbPaUREQ3bNU4AotUCDtzt6wDTXf,data/7/37/QmPP9tpEVdLT1xmeSjdbPaUREQ3bNU4AotUCDtzt6wDTXf.json,,mxl/7/37/QmPP9tpEVdLT1xmeSjdbPaUREQ3bNU4AotUCDtzt6wDTXf.mxl,pdf/7/37/QmPP9tpEVdLT1xmeSjdbPaUREQ3bNU4AotUCDtzt6wDTXf.pdf,I charge you; O daughters,Michael Wise (c1647-1687); The Bible; Song of Solomon; chapter 5; verses 8; 9; 10; 16.,musescore,F major,2/2,120.0 BPM,480,0,3
QmSLU31ibXkLMGae2fDrY8gs9NSxkJct8HTCqHu3x68ooE,data/10/30/QmSLU31ibXkLMGae2fDrY8gs9NSxkJct8HTCqHu3x68ooE.json,,mxl/10/30/QmSLU31ibXkLMGae2fDrY8gs9NSxkJct8HTCqHu3x68ooE.mxl,pdf/10/30/QmSLU31ibXkLMGae2fDrY8gs9NSxkJct8HTCqHu3x68ooE.pdf,,,musescore,,4/4,105.0 BPM,480,0,1
QmYxmunXVx23s8rZFox11et251pDYYxxVx8jFCY6XgonSu,data/16/52/QmYxmunXVx23s8rZFox11et251pDYYxxVx8jFCY6XgonSu.json,,mxl/16/52/QmYxmunXVx23s8rZFox11et251pDYYxxVx8jFCY6XgonSu.mxl,pdf/16/52/QmYxmunXVx23s8rZFox11et251pDYYxxVx8jFCY6XgonSu.pdf,Euge serve bone,José de Torres y Martinez Bravo [1665-1738]; The Bible; Gospel of Saint Matthew; chapter 25; verse 21.,musescore,,4/4,120.0 BPM,480,0,2
Qmd19oyJdEskm4evBjH8An5jj86Q2r48nR5JWjdP9HRYFG,data/3/0/Qmd19oyJdEskm4evBjH8An5jj86Q2r48nR5JWjdP9HRYFG.json,,mxl/3/0/Qmd19oyJdEskm4evBjH8An5jj86Q2r48nR5JWjdP9HRYFG.mxl,pdf/3/0/Qmd19oyJdEskm4evBjH8An5jj86Q2r48nR5JWjdP9HRYFG.pdf,T,Dit handschrift uit de bibliotheek van verzamelaar Thysius is geschreven door Adriaen Smout ,musescore,None None,2/2,220.0002 BPM,480,0,1
QmdZ9NYZsoiL4zKoC4ua4kP12917VmzPxL8wr6pog72VHB,data/3/57/QmdZ9NYZsoiL4zKoC4ua4kP12917VmzPxL8wr6pog72VHB.json,,mxl/3/57/QmdZ9NYZsoiL4zKoC4ua4kP12917VmzPxL8wr6pog72VHB.mxl,pdf/3/57/QmdZ9NYZsoiL4zKoC4ua4kP12917VmzPxL8wr6pog72VHB.pdf,The Lord Will Appear,Edmund Simon Lorenz,musescore,D major,6/8,82.9998 BPM,480,0,2
QmSBvjbofQFc4ZCJxjFZ93HSacVjy9Wjhr4Vdsci6anZfr,data/10/12/QmSBvjbofQFc4ZCJxjFZ93HSacVjy9Wjhr4Vdsci6anZfr.json,,mxl/10/12/QmSBvjbofQFc4ZCJxjFZ93HSacVjy9Wjhr4Vdsci6anZfr.mxl,pdf/10/12/QmSBvjbofQFc4ZCJxjFZ93HSacVjy9Wjhr4Vdsci6anZfr.pdf,,,musescore,,3/4,150.0 BPM,480,0,9
QmSnpF6r9uD1eb4u3baqXmLWvtHm9ykbz4JjfwBVA2PYJa,data/10/33/QmSnpF6r9uD1eb4u3baqXmLWvtHm9ykbz4JjfwBVA2PYJa.json,,mxl/10/33/QmSnpF6r9uD1eb4u3baqXmLWvtHm9ykbz4JjfwBVA2PYJa.mxl,pdf/10/33/QmSnpF6r9uD1eb4u3baqXmLWvtHm9ykbz4JjfwBVA2PYJa.pdf,Trip to St. George's. JJo6.3,,musescore,F major; F major,2/2; 2/2,120.0 BPM; 120.0 BPM,480,0,1
QmcU7gpTqkTtoup77tpVYkmPZ5dAc4x6JgQ8tn25EY6YNM,data/2/47/QmcU7gpTqkTtoup77tpVYkmPZ5dAc4x6JgQ8tn25EY6YNM.json,,mxl/2/47/QmcU7gpTqkTtoup77tpVYkmPZ5dAc4x6JgQ8tn25EY6YNM.mxl,pdf/2/47/QmcU7gpTqkTtoup77tpVYkmPZ5dAc4x6JgQ8tn25EY6YNM.pdf,Untitled,,musescore,,3/4; 3/4,120.0 BPM,480,0,1
QmTRhq9BAftXR2UwKiZ8k4DW3FDBKuCeH5mn39T1bnXjHb,data/11/41/QmTRhq9BAftXR2UwKiZ8k4DW3FDBKuCeH5mn39T1bnXjHb.json,,mxl/11/41/QmTRhq9BAftXR2UwKiZ8k4DW3FDBKuCeH5mn39T1bnXjHb.mxl,pdf/11/41/QmTRhq9BAftXR2UwKiZ8k4DW3FDBKuCeH5mn39T1bnXjHb.pdf,Rakes of Cashell [1],,musescore,G minor,6/8,120.0 BPM,480,0,1
QmUEQsAQwDtN9unCdkfJjUPCRpzZ8g6MV1wnyyNNrY3126,data/12/18/QmUEQsAQwDtN9unCdkfJjUPCRpzZ8g6MV1wnyyNNrY3126.json,,mxl/12/18/QmUEQsAQwDtN9unCdkfJjUPCRpzZ8g6MV1wnyyNNrY3126.mxl,pdf/12/18/QmUEQsAQwDtN9unCdkfJjUPCRpzZ8g6MV1wnyyNNrY3126.pdf,Swiss Boy. JBs.035; The,,musescore,F major; F major,2/4; 2/4,199.9998 BPM; 199.9998 BPM,480,0,1
Qmd9ZywzPhpcYzTMyNK9JxF8WU83khAfZ7HCgmcqBg1hKa,data/3/8/Qmd9ZywzPhpcYzTMyNK9JxF8WU83khAfZ7HCgmcqBg1hKa.json,,mxl/3/8/Qmd9ZywzPhpcYzTMyNK9JxF8WU83khAfZ7HCgmcqBg1hKa.mxl,pdf/3/8/Qmd9ZywzPhpcYzTMyNK9JxF8WU83khAfZ7HCgmcqBg1hKa.pdf,Title,Composer,musescore,None None,2/2,150.0 BPM; 150.0 BPM; 150.0 BPM,480,0,7
QmY35cGxgako9iJtXsas9vsFUdtdYCDy5vCGGkJaXpD7Xh,data/16/2/QmY35cGxgako9iJtXsas9vsFUdtdYCDy5vCGGkJaXpD7Xh.json,,mxl/16/2/QmY35cGxgako9iJtXsas9vsFUdtdYCDy5vCGGkJaXpD7Xh.mxl,pdf/16/2/QmY35cGxgako9iJtXsas9vsFUdtdYCDy5vCGGkJaXpD7Xh.pdf,Is it the priest you want?,anon.,musescore,G major; G major; G major,6/8; 6/8; 6/8,120.0 BPM,480,0,1
QmQSvQ6mvJktc4kJed96BVu9cLzjt32nsFT7MP9Bu7yTdP,data/8/43/QmQSvQ6mvJktc4kJed96BVu9cLzjt32nsFT7MP9Bu7yTdP.json,,mxl/8/43/QmQSvQ6mvJktc4kJed96BVu9cLzjt32nsFT7MP9Bu7yTdP.mxl,pdf/8/43/QmQSvQ6mvJktc4kJed96BVu9cLzjt32nsFT7MP9Bu7yTdP.pdf,Four improvisations,,musescore,None None; None None; None None; None None,4/4; 2/4; 4/4; 2/4; 6/8; 4/4; 3/4; 2/4; 4/4,114.0 BPM; 105.0 BPM; 106.00019999999999 BPM; 97.9998 BPM; 94.9998 BPM; 90.0 BPM; 82.0002 BPM; 85.0002 BPM; 73.99980000000001 BPM; 66.0 BPM; 114.0 BPM; 105.0 BPM; 100.0002 BPM; 94.9998 BPM; 90.0 BPM; 79.9998 BPM; 40.00002 BPM; 115.9998 BPM; 70.0002 BPM; 115.9998 BPM; 10.000020000000001 BPM; 144.0 BPM; 132.0 BPM; 120.0 BPM; 108.0 BPM; 94.9998 BPM; 96.0 BPM; 75.0 BPM; 84.0 BPM; 19.99998 BPM; 24.0 BPM; 60.0 BPM; 112.0002 BPM; 112.0002 BPM; 60.0 BPM; 19.99998 BPM,480,0,1
